,questions_ru
23,"Джанет Файерстоун приобрела опцион на акцию за 175 долларов, дающий ей право купить 100 акций по цене 14 (1/2) долларов в течение 90 дней. Месяц спустя она реализовала свой опцион и в тот же день продала акции за 17 долларов. Какова была ее прибыль от продажи акций?"
24,"Маргарет Дено недавно арендовала грузовик, на котором она проехала 516 миль за 17 часов, используя 54 галлона бензина. Компания, занимающаяся прокатом, взимала с нее 32 доллара в день, 22 доллара за милю и 445 долларов за галлон бензина. За дополнительные часы работы взималась плата в размере 2,75 долларов США в час. Найдите общую стоимость аренды."
25,"Какое место в бухгалтерском балансе занимает каждый из перечисленных пунктов? (А) Налоги, подлежащие уплате (Б) Основной капитал (В) Выручка от розничной торговли (Г) Административные расходы (Д) Расходы по предоплате"
26,"Подготовьте балансовую ведомость для компании Silvertown Office Supplies, Ч.Х. Уолтерс, владелец, по состоянию на 30 апреля текущего года, основываясь на следующей информации: Наличные - 3 390 долларов США; Дебиторская задолженность по векселям - 2 905 долларов США; Дебиторская задолженность - 8 215 долларов США; Товарные запасы - 23 600 долларов США; Расходные материалы для магазинов - 720 долларов США; Магазин Оборудование - 2895 долларов; Мебель и оборудование - 5600 долларов; Векселя к оплате - 5250 долларов; Кредиторская задолженность - 4800 долларов."
27,"Какова чистая стоимость магнитофона, прейскурантная цена которого составляет 32 доллара и на который действует скидка в размере 30%?"
28,"Мистер Френкель хочет занять 2000 долларов США с 16 ноября на 143 дня. Процентная ставка составляет 6%. Какова была бы разница в начислении процентов, если бы банк использовал точные проценты вместо банковских?"
29,"Гарри Хиппис получал постоянную заработную плату в размере 2,89 доллара (1/2) в час. Если он будет работать по 9 часов в день при шестидневной рабочей неделе, сколько ему заплатят?"
30,"Стивен Мур приобрел новый автомобиль за 3 462,20 доллара, включая налоги и все прочие сборы. Он хочет оплатить его за 35 месяцев. Найдите свои ежемесячные платежи."
31,"Мужчина продает новые товары по 1,25 доллара за штуку. Его себестоимость составляет 75 долларов за штуку плюс фиксированная стоимость в 140 000 долларов. Сколько товаров он должен продать, чтобы достичь безубыточности? Каков его доход от продаж на данный момент?"
32,"Найдите сумму, которую необходимо выплачивать каждый месяц, чтобы расплатиться за автомобиль, описанный ниже, в течение двух лет. Цена автомобиля: $5 779,00 Транспортные расходы: $73,00 Установленное на заводе оборудование: Магнитола 95,50 Краска ""металлик"" 59,90 Гоночные полосы 39,50 Усилитель рулевого управления 98,00 Широкие радиальные шины 198,10 Кондиционер 429,00 Установленное дилером оборудование: Зеркала 8,50 Коврики 10,75 Грунтовка 35,00 Страховка: Столкновение (100 долларов -франшиза) 505,75 долларов за автомобиль. два года на общую сумму 231,50 за два года Налог с продаж: 5% Депозит наличными: 500,00 долларов США Стоимость финансирования: 9 (1/2)% в год в течение двух лет Пособие на подержанный автомобиль: 370,00 долларов США"
33,"Найдите точку безубыточности для себестоимости продукции C и выручки R, полученной для каждого из следующих показателей: (а) C = 10x +600 долларов, R =30x (б) C = 5x +200 долларов,R = 8x (в) C =0,2 доллараx + $50,R = $0,3x (d) C = $1800x + $3000,R = $2500x"
34,"Налоговая ставка в городе Сентервилль составляет 11(1/2)%. Если за объект недвижимости был уплачен налог в размере 1794 долларов США, а ставка оценки в Сентервилле составляет 30%, какова ожидаемая рыночная стоимость объекта недвижимости?"
35,"Мужчина покупает дом и участок за 35 000 долларов, выплачивает первый взнос в размере 12 000 долларов и берет остаток по ипотеке под 6% годовых, срок погашения которой истекает через 10 лет. Он платит налоги на недвижимость в размере 240 долларов, налог на воду в размере 30 долларов и страховые взносы в размере 70 долларов в год. Учитывая 4%-ный процент на его инвестиции и 2%-ную амортизацию дома стоимостью 25 000 долларов, какова стоимость владения домом в месяц, если ремонт в среднем составляет 120 долларов в год?"
36,Пятизвездочный отель потратил на ковровое покрытие 3000 долларов. Ковровое покрытие рассчитано на пять лет. Бухгалтер отеля хочет использовать метод уменьшения остатка. Какова амортизация за второй год?
37,"Мистер Уильямс владеет участком недвижимости, стоимость которого оценивается в 7 800 долларов, в городе, где налоговая ставка составляет 2,80 доллара за 100 долларов. Сколько налогов на недвижимость он платит?"
38,"Джо Трой приобрел цепную пилу за 1200 долларов для своей лесопилки. Срок службы пилы составляет 6 лет, и остаточная стоимость не учитывается. Мистер Трой хочет использовать линейный метод начисления амортизации. Найдите величину амортизации и балансовую стоимость за первые два года."
39,"Мистер Касл купит один из двух предложенных ему двигателей мощностью 10 л.с. Двигатель А продается за 169 долларов и имеет КПД при полной нагрузке 85,2%. Двигатель В стоит 149 долларов и имеет КПД при полной нагрузке 82,1%. Ежегодная плата за осмотр и техническое обслуживание обоих двигателей составляет 14,5% от стоимости. Если стоимость электроэнергии составляет 2,35 цента за киловатт-час (1 л.с. = 0,746 кВт), найдите количество часов в год, при котором стоимость обоих двигателей будет одинаковой."
40,"Определите количество людей, необходимое для постройки лодки за 77 дней, если на ее постройку у 36 человек уходит 132 дня."
41,"Исходя из приведенного выше утверждения, найдите, что произойдет со свободной суммой, если резерв на непредвиденные расходы увеличится на 10 000 долл. Нераспределенная прибыль: Зарезервировано на непредвиденные расходы 25 000 долл., зарезервировано на расширение завода 20 000 долл., Общие резервы 45 000 долл., Свободная нераспределенная прибыль 50 000 долл., Общая нераспределенная прибыль 95 000 долл."
42,"Сколько будет стоить покрытие пола размером 13'6"" × 18'8"" битумной плиткой, если цена составляет 9 (3/4) центов за 9-дюймовую плитку?"
43,"Дерман и Кляйн являются единственными акционерами корпорации Leather Products Corporation. По оценкам, в этом году налогооблагаемый доход от производства кожаных изделий составит 30 000 долларов. Акции разделены поровну между г-ном Дерманом и г-ном Кляйном, так что полученные дивиденды также будут распределены поровну. И г-н Дерман, и г-н Кляйн рассчитывают получить из других источников чистый налогооблагаемый доход в размере 12 000 долларов США. Вся прибыль Leather Products за этот год после уплаты налогов будет выплачена в виде дивидендов. Мистер Дерман хочет представить новый продукт. Если это предприятие увенчается успехом, годовой доход до уплаты налогов увеличится на 10 000 долларов. Каков будет рост доходов акционеров после уплаты налогов? Воспользуйтесь таблицами ""Ставки федеральных налогов на чистые доходы корпораций в Соединенных Штатах за 1949 год"" и ""Ставки федеральных налогов на доходы физических лиц в Соединенных Штатах за 1949 год""."
44,Том купил новый велосипед за 80 долларов. После 4 лет использования он продал его продавцу подержанных велосипедов за 15 долларов. Какова была годовая амортизация по линейному методу? Какова была годовая норма амортизации?
45,"Производитель может произвести пилу за 13 долларов прямых затрат и 10 долларов накладных или косвенных издержек. Ему нужно продать свою пилу по минимальной цене. По какой цене он должен продать свою пилу, чтобы не понести краткосрочных убытков?"
46,Что из перечисленного принесет корпорации наибольшую чистую прибыль при 50%-ном налогообложении: А) 5%-ный депозитный сертификат; Б) 5%-ные государственные облигации; В) 5%-ные корпоративные облигации; Г) 5%-ные казначейские облигации; Д) 4%-ные муниципальные облигации
47,"Цена книги по прейскуранту составляет 4,95 доллара. В книжном магазине она продается по цене нетто в 2,95 доллара. Каков размер торговой скидки?"
48,"Бизнес начался в прошлом году с инвентаризации 90 000 наименований, которые стоили 60 000 долларов и имели цену продажи 80 000 долларов, в конце года инвентаризация состояла из 70 000 наименований, которые стоили 90 000 долларов и имели цену продажи 120 000 долларов. Согласно отчетам, в течение года было продано 360 000 наименований товаров на сумму 300 000 долларов США, при этом чистый объем продаж составил 380 000 долларов США. Каковы показатели товарооборота по себестоимости, цене продажи и количеству единиц?"
49,"Пол Мерфи хочет, чтобы через 10 лет на его счету было 10 000 долларов. Если проценты будут составлять 4% в год, какую сумму мистеру Мерфи следует инвестировать сейчас?"
50,"Мистер Торрес владеет 350 акциями Krescostock, выплачивая ежеквартальные дивиденды в размере 1,20 доллара на акцию и дополнительные дивиденды по итогам года в размере 0,30 доллара на акцию. Каков был его общий доход от продажи акций за год?"
51,"Предположим, что используется следующая модель (из предыдущей задачи). Y = C + I + G C = 100 + 0,6Y I = 0,2Y - 50i M_D = 0,25Y - 30i M_s = 65 G = 100, равновесный уровень которого, как было установлено, равен 500. Предположим, что уровень дохода при полной занятости равен 600, так что желаемое изменение равно 100. Если денежная масса останется неизменной, какие изменения в государственных расходах потребуются для сокращения дефляционного разрыва?"
52,"Средняя заработная плата в Bedford Manufacturing Co. выросла на 60% за 10-летний период. Этот рост составил 42,50 доллара в неделю. (а) Найдите среднюю недельную заработную плату на начало 10-летнего периода и (б) на конец 10-летнего периода."
53,"_______ такие, как биткойн, становятся все более популярными и имеют целый ряд связанных с ними этических последствий, например, они являются ______ и более _______. Однако они также использовались для участия в ________."
54,"_______ экономия - это термин, используемый для описания людей, нанимаемых для выполнения конкретной задачи, а не на долгосрочной основе. А это приводит к _________, который является выгодным для предприятия, вопросы для тех, кто работает в такой манере относятся к повышенному ________, неопределенности и нехватки _______."
55," В ________ точка зрения на устойчивость в результате роста модели, которые проанализировали пропускную способность планеты, общий вывод о том, что ограничение по мощности из земли и_______, ________ и _______ нынешних и прошлых поколений может снизить качество жизни для будущих поколений. Это контрастирует с экологическим подходом, в котором основное внимание уделяется необходимости поддерживать и оберегать природную среду."
56,"В контексте бизнеса между предприятиями конфликты интересов могут возникать двумя основными способами: конфликт ______ и ______ интересов, который может возникнуть, например, когда другая фирма нанимает фирму в качестве поставщика профессиональных услуг, или конфликт интересов _________ и ________ интересов, например, в тех случаях, когда интересы физического лица могут вступать в противоречие с интересами его работодателя."
57,"Это иерархия эффектов или последовательная модель, используемая для объяснения того, как работает реклама:"
58,"Степень, в которой услуга дополняет продукт, зависит от ряда факторов. Что из перечисленного не является одним из факторов?"
59,"Важной характеристикой услуг является то, что они производятся и потребляются людьми одновременно, как единое событие. Одним из результатов этого уникального процесса является то, что чрезвычайно сложно стандартизировать предоставление услуг в соответствии с моделью blueprint. О какой характеристике услуг идет речь?"
60,"Это обмен смыслами, созданными посредством передачи информации:"
61,Какой из них не является элементом основной деятельности цепочки создания стоимости?
62,Каковы характеристики запрограммированного решения?
63,Для какого типа культуры характерно принятие перемен работниками?
64,"Для двухпериодной биномиальной модели цен на акции вам дается: (i) Каждый период равен 6 месяцам. (ii) Текущая цена акции, не приносящей дивидендов, составляет 70,00 долларов США. (iii) u =1,181, где u - единица плюс коэффициент прироста капитала по акции за период при повышении цены. (iv) d = 0,890 , где d - единица плюс коэффициент потери капитала по акции за период при снижении цены. (v) Постоянно увеличивающаяся безрисковая процентная ставка составляет 5%. Какова текущая цена годового американского опциона пут на акцию с ценой исполнения 80,00 долларов США."
65,"Давайте предположим, что 10-летняя годовая доходность по индексу S&P 500 (рыночный портфель) составляет 10%, в то время как средняя годовая доходность по казначейским векселям (хороший показатель безрисковой ставки) составляет 5%. Каков рыночный коэффициент Трейнора? Возвращает числовое значение от 0 до 1."
66,"По прогнозам CheckMate, дивиденды будут расти на 20% в год в течение следующих четырех лет, а затем навсегда останутся на уровне 8%. Дивиденды (текущий год, 2016) =12 долларов США; ожидаемая норма прибыли = 15%. Какова справедливая стоимость акций на данный момент?"
67,"Если в начале каждого месяца вносить депозит в размере 500 долларов на счет с ежемесячной выплатой 8%, какова будет окончательная сумма через пять лет?"
68,"Предположим, что кривая спроса на oPads задана как $p=\frac{500-x}{10}, каково значение эластичности этой функции спроса."
69,"Предположим, что на монопольном рынке существует функция спроса, при которой величина спроса зависит не только от рыночной цены (P), но и от объема рекламы фирмы (A, измеряемой в долларах). Конкретная форма этой функции - Q = (20 - P) (1 + 0,1A - 0,01A ^ 2). Функция издержек фирмы-монополиста определяется как C = 10Q + 15 + A. Предположим, что рекламы нет (A = 0). Какой результат выберет фирма, стремящаяся к максимизации прибыли?"
70,"Мистер Норман Шварц, 30 лет, хочет оформить страховой полис на сумму 15 000 долларов. Какова будет разница в ежегодных страховых взносах между полисом страхования жизни с 20 выплатами и обычным полисом страхования жизни с выплатой в 65 лет? Если он умрет в возрасте 62 лет, сколько он заплатит за каждый полис?"
71,"если на ""Набор для гонок по спидвею"", стоимость которого по прейскуранту составляет 32 доллара, предоставляются скидки в размере 10% и 20%, какова чистая цена?"
72,Какой процент от .65% равен .42%?
73,"Оптовый торговец обанкротился, поэтому продал товар за 1288 долларов с потерей 8 процентов от первоначальной стоимости. Найдите первоначальную стоимость товара."
74,"Полин Дилоренцо хочет приобрести магазин стоимостью 26 000 долларов. Она оформила ипотечный кредит на 23 000 долларов по ставке 5,5% годовых. Если ее валовой доход составляет 3500 долларов, а расходы - 1800 долларов, какова отдача от ее инвестиций?"
75,"Общая сумма активов корпорации ABC составляет 75 000 долларов, а общая сумма обязательств - 52 000 долларов. Если у Корпорации в обращении находится всего 500 акций, какова балансовая стоимость одной акции?"
76,Марта Майкл ежемесячно тратит 360 долларов на оплату телефонных счетов. Это составляет 6 (1/4) % от ее годового заработка. Найдите ее годовой заработок.
77,"каркасный дом, расположенный в городе класса А, застрахован на 24 000 долларов, или такой же каркасный дом, расположенный в городе класса В, застрахован на те же 24 000 долларов? В чем разница?"
78,"Джордж положил 500 долларов на счет, на который ежеквартально начисляются проценты в размере 8%. Если он оставит эти 500 долларов на пять лет, сколько у него останется?"
79,Какой процент составляет 131 из 42?
80,"Айк Уотерман и Шон Коул инвестировали в магазин быстрого питания 20 000 и 10 000 долларов соответственно. Каждый партнер получает по 6% от своих инвестиций. Остальная прибыль делится поровну. Если прибыль в прошлом году составила 10 400 долларов, какова была доля каждого партнера?"
81,"10 апреля был оплачен счет от 2 марта на сумму 416,50 долларов США, за вычетом 15% и 2 (1/2)% годовых на условиях 2% 10-месячного платежа. Какая сумма была перечислена в качестве платежа?"
82,"Пол Рейли перевел чек на 5000 долларов на свой счет в ассоциации сберегательных и кредитных организаций, который приносит 4% годовых. Он оставался там 3 года. Пол может получать проценты раз в полгода или ежеквартально. Какой способ будет для него более выгодным?"
83,"Учитывая сумму счета в размере 190,55 долларов США и ставку скидки в размере 2% при частичной оплате в размере 90,00 долларов США, какова сумма к оплате и скидка?"
84," 0,01(1/4) доллара за акцию для акций номинальной стоимостью менее 5 долларов за акцию, 0,02(1/2) доллара за акцию для акций номинальной стоимостью от 5 до 10 долларов за акцию, 0,03(3/4) доллара за акцию для акций номинальной стоимостью от 10 до 20 долларов за акцию, 0,05 доллара за акцию для акций г-н Карр продал 300 акций номинальной стоимостью более 20 долларов за акцию по номинальной стоимости 50 долларов за акцию. Каков был трансфертный налог штата Нью-Йорк?"
85,"Годовой бюджет Нью-Сити составляет 4 221 890,49 долларов США. Общая оценочная стоимость его имущества составляет 150 781 803,21 долларов США. Какова ставка городского налога, если другие предполагаемые поступления составят 385 000 долларов?"
86,"Производитель мебели хочет узнать, сколько приставных столиков он произвел за определенную неделю. Он знает, что 8 сотрудников изготовили по 16 конечных столов, 21 сотрудник изготовил по 23, 7 - по 27 и 4 - по 29. Найдите общее количество конечных столов, изготовленных за неделю."
87,"Телевизор продается по цене 180 долларов. Розничному продавцу он обходится в 136,50 долларов. Найдите процентную надбавку, основанную на цене продажи."
88,"Найдите общий заработок сотрудника, который зарабатывает 2,40 доллара в час при продолжительности работы более 8 часов в день, если он работал 8 часов в понедельник, 7 часов во вторник, 9 часов в среду, 9 часов в четверг и 10 часов в пятницу."
89,"Последний Национальный банк только что одобрил кредит по процентной ставке 6% сроком на 90 дней. Если проценты по кредиту составляют 36 долларов, какова основная сумма кредита?"
90,"Какова будущая стоимость, полученная при ежегодной экономии в размере 5000 долларов США в течение 20 лет под 5% годовых?"
91,"1 сентября мистер Блейк получил выписку по своему текущему счету. Остаток средств на конец периода по выписке составил 1 810,50 долларов США. В чековой книжке мистера Блейка указан остаток в размере 1 685,75 долларов США. Сравнивая корешки своих чеков с выпиской, он замечает, что чеки на суммы в 60,80, 40,30 и 25,00 долларов в выписке не указаны. Кроме того, в выписке указана плата за обслуживание в размере 1,35 доллара, которая не указана в корешках его чековой книжки. Подготовьте заявление о сверке для мистера Блейка."
92,"Цирк братьев Ринглинг недавно приобрел новую клетку для тигров за 1950 долларов. Бухгалтеры решили амортизировать клетку, используя метод уменьшающегося остатка, с коэффициентом 15%. Какова будет балансовая стоимость клетки через 3 года?"
93,"Ориентировочная стоимость облагаемого налогом имущества в городе Смитвилл составляет 52 384 600 долларов США. Налоги, которые будут повышены, составят 123 475 долларов на новый местный проект, 931 442,75 долларов на образовательные цели и 319 878 долларов на нужды здравоохранения и социального обеспечения. Найдите городскую налоговую ставку (а) с точностью до тысячных долей процента, (б) в миллсах на 1 доллар оценочной стоимости, (в) в центах на 100 долларов оценочной стоимости и (г) в миллсах на 1000 долларов оценочной стоимости."
94,"10 октября компания Florsheimand Co. приняла срочный чек сроком на 90 дней на сумму 425,00 долларов США. 1 ноября на него была сделана скидка в размере 5%. Если их банк взимал комиссию в размере (1/3)% от суммы платежа, какова была выручка?"
95,"TencerInc. по оценкам, функция выручки компании равна r(x) = 3x^ 2, где x - количество лет, в течение которых компания ведет бизнес, а r(x) - общий доход, полученный до x года в миллионах. Функция прибыли равна f(x) = 2x ^ 2 - 5x +1, f(x) - это общая прибыль, полученная за год x. Каковы затраты, накопленные за трехлетний период? Каковы темпы изменения себестоимости продукции к концу третьего года?"
96,"Чек на 800 долларов с погашением через 3 месяца и процентами в размере 4 (1/2)% был дисконтирован за 60 дней до наступления срока его погашения. Если ставка дисконтирования составляла 5%, то какова была выручка?"
97,"Водяная кровать продается за 330 долларов наличными или 40 долларов задатка и 10,50 долларов в месяц в течение 36 месяцев. Найдите годовую процентную ставку."
98,"На заводе по производству томатных консервов имеется 5000 фунтов помидоров сорта А и 10 000 фунтов помидоров сорта В, из которых будут изготавливаться целые консервированные помидоры и томатная паста. В состав целых помидоров должно входить не менее 80% томатов высшего сорта, в то время как в томатной пасте должно быть не менее 10% томатов высшего сорта. Целые помидоры продаются по цене 0,08 доллара за фунт, а паста - по 0,05 доллара за фунт. Сформулируйте линейную программу для определения объема производства каждого продукта, если компания хочет максимизировать доход. (Подсказка: пусть x_WA = фунты помидоров сорта А, используемых для производства целых помидоров, x_WB = фунты помидоров сорта В, используемых для производства целых помидоров; количество произведенных целых помидоров можно определить как x_WA + x_WB после выбора x_WA и x_WB.)"
